work_school_address,emp_naics_11,emp_naics_21,emp_naics_23,emp_naics_72,emp_naics_92,emp_naics_48-49,emp_naics_52,emp_naics_61,emp_naics_62,emp_naics_81,emp_total
119,16.0,52.0,18.0,60.0,1.0,22.0,17.0,14.0,11.0,176.0,387.0
120,0.0,9.0,3.0,12.0,4.0,6.0,1.0,4.0,2.0,37.0,78.0
121,6.0,21.0,7.0,11.0,3.0,9.0,5.0,0.0,4.0,51.0,117.0
122,1.0,14.0,4.0,5.0,1.0,7.0,3.0,1.0,4.0,35.0,75.0
123,0.0,32.0,11.0,19.0,1.0,4.0,8.0,3.0,2.0,45.0,125.0
124,3.0,86.0,11.0,17.0,3.0,19.0,3.0,8.0,4.0,72.0,226.0
125,7.0,45.0,13.0,40.0,3.0,20.0,11.0,8.0,10.0,108.0,265.0
126,0.0,35.0,10.0,5.0,2.0,4.0,2.0,8.0,1.0,47.0,114.0
127,4.0,41.0,18.0,46.0,2.0,11.0,8.0,12.0,6.0,114.0,262.0
128,6.0,51.0,6.0,14.0,5.0,6.0,7.0,5.0,5.0,62.0,167.0
129,7.0,36.0,7.0,35.0,2.0,13.0,1.0,6.0,5.0,86.0,198.0
130,2.0,10.0,12.0,25.0,1.0,9.0,17.0,4.0,4.0,79.0,163.0
131,4.0,10.0,7.0,10.0,2.0,5.0,7.0,7.0,4.0,67.0,123.0
132,0.0,5.0,6.0,8.0,5.0,3.0,6.0,1.0,2.0,21.0,57.0
133,1.0,16.0,6.0,6.0,5.0,8.0,1.0,7.0,3.0,35.0,88.0
134,0.0,4.0,4.0,7.0,6.0,3.0,14.0,7.0,5.0,46.0,96.0
135,0.0,13.0,5.0,15.0,4.0,10.0,14.0,5.0,2.0,38.0,106.0
136,0.0,6.0,0.0,3.0,2.0,1.0,1.0,1.0,0.0,23.0,37.0
137,3.0,35.0,4.0,8.0,9.0,21.0,1.0,8.0,8.0,46.0,143.0
138,2.0,12.0,26.0,15.0,8.0,10.0,12.0,11.0,6.0,44.0,146.0
139,2.0,11.0,9.0,2.0,8.0,5.0,2.0,3.0,4.0,53.0,99.0
140,1.0,1.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,9.0
141,2.0,5.0,11.0,14.0,10.0,8.0,10.0,0.0,4.0,60.0,124.0
142,9.0,175.0,7.0,11.0,1.0,36.0,2.0,1.0,1.0,179.0,422.0
143,15.0,37.0,10.0,2.0,2.0,10.0,9.0,6.0,1.0,53.0,145.0
144,1.0,17.0,14.0,12.0,1.0,15.0,3.0,5.0,3.0,100.0,171.0
145,0.0,18.0,20.0,30.0,0.0,12.0,13.0,12.0,8.0,82.0,195.0
146,11.0,36.0,11.0,12.0,1.0,18.0,12.0,13.0,16.0,113.0,243.0
147,0.0,9.0,3.0,6.0,1.0,8.0,2.0,3.0,0.0,44.0,76.0
148,11.0,54.0,18.0,12.0,3.0,19.0,6.0,9.0,2.0,75.0,209.0
149,1.0,20.0,12.0,4.0,7.0,6.0,8.0,2.0,4.0,29.0,93.0
150,1.0,4.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,14.0,25.0
151,7.0,5.0,6.0,3.0,1.0,4.0,2.0,1.0,4.0,33.0,66.0
152,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,28.0,31.0
153,0.0,3.0,3.0,3.0,1.0,3.0,1.0,2.0,0.0,32.0,48.0
154,1.0,5.0,5.0,1.0,0.0,3.0,0.0,3.0,0.0,33.0,51.0
155,3.0,50.0,3.0,7.0,1.0,3.0,1.0,3.0,1.0,45.0,117.0
156,5.0,33.0,9.0,5.0,3.0,10.0,7.0,9.0,3.0,37.0,121.0
157,3.0,25.0,12.0,8.0,1.0,9.0,4.0,9.0,0.0,70.0,141.0
158,3.0,41.0,13.0,16.0,3.0,7.0,5.0,9.0,4.0,82.0,183.0
159,2.0,35.0,10.0,11.0,5.0,8.0,3.0,8.0,1.0,62.0,145.0
160,9.0,40.0,13.0,8.0,4.0,10.0,1.0,12.0,3.0,70.0,170.0
161,6.0,103.0,33.0,26.0,9.0,17.0,7.0,13.0,6.0,235.0,455.0
162,6.0,26.0,7.0,9.0,1.0,17.0,0.0,19.0,4.0,31.0,120.0
163,4.0,8.0,10.0,4.0,0.0,16.0,1.0,1.0,1.0,45.0,90.0
164,0.0,13.0,4.0,11.0,2.0,6.0,0.0,7.0,1.0,39.0,83.0
165,0.0,4.0,7.0,3.0,4.0,3.0,1.0,5.0,0.0,33.0,60.0
166,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,15.0,20.0
167,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,38.0,42.0
168,1.0,13.0,0.0,0.0,3.0,2.0,1.0,3.0,0.0,10.0,33.0
169,3.0,6.0,7.0,5.0,2.0,3.0,3.0,5.0,0.0,32.0,66.0
170,2.0,22.0,2.0,1.0,0.0,2.0,0.0,4.0,1.0,30.0,64.0
171,3.0,50.0,14.0,19.0,3.0,7.0,1.0,0.0,1.0,28.0,126.0
172,30.0,12.0,2.0,0.0,0.0,6.0,0.0,2.0,1.0,4.0,57.0
173,3.0,2.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0,16.0,27.0
174,5.0,6.0,3.0,0.0,2.0,3.0,0.0,1.0,0.0,21.0,41.0
175,5.0,15.0,7.0,6.0,2.0,4.0,1.0,2.0,3.0,88.0,133.0
176,1.0,10.0,4.0,10.0,2.0,3.0,2.0,1.0,1.0,36.0,70.0
177,2.0,20.0,1.0,1.0,2.0,4.0,1.0,1.0,2.0,19.0,53.0
178,0.0,20.0,7.0,13.0,12.0,6.0,1.0,2.0,5.0,16.0,82.0
179,8.0,17.0,5.0,3.0,2.0,10.0,2.0,2.0,5.0,79.0,133.0
180,22.0,54.0,15.0,26.0,11.0,34.0,9.0,3.0,8.0,127.0,309.0
181,6.0,286.0,29.0,113.0,6.0,30.0,12.0,5.0,9.0,132.0,628.0
182,49.0,115.0,30.0,43.0,9.0,24.0,17.0,13.0,7.0,164.0,471.0
183,26.0,165.0,43.0,36.0,16.0,32.0,10.0,11.0,6.0,268.0,613.0
184,12.0,56.0,16.0,18.0,3.0,4.0,2.0,5.0,3.0,53.0,172.0
185,3.0,2.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,43.0,55.0
186,5.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,12.0,21.0
187,8.0,17.0,3.0,2.0,1.0,1.0,1.0,3.0,1.0,41.0,78.0
188,1.0,64.0,4.0,3.0,1.0,3.0,0.0,0.0,5.0,32.0,113.0
189,1.0,8.0,9.0,5.0,2.0,8.0,3.0,0.0,3.0,57.0,96.0
190,0.0,1.0,3.0,2.0,0.0,3.0,0.0,2.0,0.0,18.0,29.0
191,9.0,4.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,17.0,37.0
192,5.0,11.0,2.0,4.0,3.0,3.0,0.0,3.0,0.0,58.0,89.0
193,4.0,8.0,8.0,12.0,0.0,4.0,4.0,2.0,1.0,72.0,115.0
194,15.0,19.0,6.0,4.0,4.0,2.0,0.0,2.0,0.0,33.0,85.0
195,1.0,22.0,13.0,7.0,3.0,3.0,0.0,0.0,2.0,23.0,74.0
196,1.0,20.0,3.0,1.0,1.0,9.0,0.0,3.0,1.0,23.0,62.0
197,1.0,8.0,3.0,0.0,2.0,2.0,1.0,2.0,0.0,54.0,73.0
198,16.0,33.0,16.0,15.0,6.0,11.0,5.0,6.0,10.0,80.0,198.0
199,2.0,11.0,2.0,10.0,0.0,2.0,5.0,5.0,0.0,63.0,100.0
200,3.0,22.0,10.0,1.0,2.0,11.0,4.0,6.0,2.0,92.0,153.0
201,2.0,41.0,6.0,15.0,1.0,10.0,3.0,5.0,3.0,36.0,122.0
202,0.0,15.0,11.0,9.0,3.0,12.0,3.0,4.0,0.0,30.0,87.0
203,8.0,25.0,10.0,17.0,14.0,11.0,10.0,21.0,6.0,102.0,224.0
204,8.0,212.0,16.0,6.0,4.0,24.0,6.0,19.0,13.0,122.0,430.0
205,10.0,13.0,10.0,2.0,8.0,5.0,1.0,1.0,9.0,65.0,124.0
206,1.0,9.0,1.0,2.0,5.0,1.0,1.0,2.0,4.0,31.0,57.0
207,38.0,42.0,6.0,11.0,1.0,21.0,3.0,6.0,4.0,126.0,258.0
208,3.0,47.0,6.0,0.0,0.0,2.0,3.0,6.0,4.0,24.0,95.0
209,5.0,10.0,10.0,20.0,4.0,5.0,3.0,2.0,10.0,56.0,125.0
210,14.0,98.0,20.0,9.0,2.0,25.0,4.0,7.0,13.0,139.0,331.0
211,20.0,41.0,10.0,3.0,0.0,7.0,0.0,0.0,1.0,37.0,119.0
212,17.0,46.0,3.0,25.0,2.0,8.0,1.0,44.0,4.0,54.0,204.0
213,23.0,37.0,5.0,13.0,3.0,2.0,1.0,41.0,9.0,46.0,180.0
214,41.0,29.0,13.0,14.0,3.0,5.0,3.0,6.0,2.0,42.0,158.0
215,43.0,13.0,16.0,1.0,8.0,3.0,2.0,6.0,6.0,63.0,161.0
216,75.0,2.0,9.0,18.0,20.0,13.0,7.0,25.0,9.0,38.0,216.0
217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
218,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,7.0
219,42.0,19.0,19.0,25.0,1.0,12.0,0.0,5.0,1.0,30.0,154.0
220,9.0,26.0,13.0,1.0,4.0,5.0,0.0,6.0,4.0,107.0,175.0
221,15.0,23.0,1.0,4.0,2.0,3.0,0.0,0.0,1.0,44.0,93.0
222,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,7.0
223,45.0,56.0,21.0,28.0,4.0,11.0,0.0,5.0,3.0,78.0,251.0
224,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
226,9.0,10.0,7.0,13.0,2.0,2.0,3.0,4.0,1.0,10.0,61.0
227,35.0,30.0,13.0,21.0,4.0,6.0,0.0,8.0,2.0,44.0,163.0
228,30.0,67.0,18.0,21.0,19.0,9.0,1.0,15.0,10.0,64.0,254.0
229,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0
230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
